CorporationName,building_address,business_address,RegistrationID,BuildingID,Boro,BoroID,Block,Lot,BIN,RegistrationContactID
TRUSTEES OF COLUMBIA UNIVERSITY,"25 CLAREMONT AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102895,9618,MANHATTAN,1,1990,13,1059820.0,10289503
NEW YORK UNIVERSITY,"35 WASHINGTON SQUARE WEST, NEW YORK, NY, 10011","10 ASTOR PLACE, NEW YORK, NY 10003",144406,29247,MANHATTAN,1,552,24,1008876.0,14440603
NEW YORK UNIVERSITY,"35 WASHINGTON SQUARE WEST, NEW YORK, NY, 10011","10 ASTOR PLACE APARTMENT 7TH FL, New York, NY 10003",144406,29247,MANHATTAN,1,552,24,1008876.0,14440604
TRUSTEES OF COLUMBIA UNIVERSITY,"460 RIVERSIDE DRIVE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102907,27294,MANHATTAN,1,1990,50,1059828.0,10290703
TRUSTEES OF COLUMBIA UNIVERSITY,"526 WEST 112 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",120812,37986,MANHATTAN,1,1883,50,1056985.0,12081203
TRUSTEES OF COLUMBIA UNIVERSITY,"404 WEST 116 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102910,38396,MANHATTAN,1,1867,64,1056054.0,10291003
NEW YORK UNIVERSITY,"787 BROADWAY, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 7TH FL, NEW YORK, NY 10003",132439,8543,MANHATTAN,1,562,30,1009112.0,13243903
NEW YORK UNIVERSITY,"787 BROADWAY, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 7TH FL, NEW YORK, NY 10003",132439,8543,MANHATTAN,1,562,30,1009112.0,13243904
COLUMBIA UNIVERSITY,"78 HAVEN AVENUE, NEW YORK, NY, 10032","50 Haven Avenue APARTMENT Suite, New York, NY 10032",143971,22646,MANHATTAN,1,2139,219,1081868.0,14397104
COLUMBIA UNIVERSITY,"78 HAVEN AVENUE, NEW YORK, NY, 10032","630 W 168TH ST, New York, NY 10032",143971,22646,MANHATTAN,1,2139,219,1081868.0,14397103
TRUSTEES OF COLUMBIA UNIVERSITY,"1254 AMSTERDAM AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",111968,5528,MANHATTAN,1,1976,36,1059658.0,11196803
TRUSTEES OF COLUMBIA UNIVERSITY,"415 WEST 115 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",102814,38281,MANHATTAN,1,1867,49,1056049.0,10281403
TRUSTEES OF COLUMBIA UNIVERSITY,"2820 BROADWAY, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",112755,7920,MANHATTAN,1,1881,1,1056691.0,11275503
NYU REAL ESATE CORP,"18 EAST 8 STREET, NEW YORK, NY, 10003","70 WASHINGTON SQ SOUTH, NEW YORK, NY 10012",107709,11226,MANHATTAN,1,550,30,1083507.0,10770903
NEW YORK UNIVERSITY,"18 EAST 8 STREET, NEW YORK, NY, 10003","2 WASHINGTON SQ VILLAGE APARTMENT 1T, New York, NY 10012",107709,11226,MANHATTAN,1,550,30,1083507.0,10770904
NEW YORK UNIVERSITY,"110 WEST 3 STREET, NEW YORK, NY, 10012","70 WASHINGTON SQUARE APARTMENT 1206, NEW YORK, NY 10012",142571,859194,MANHATTAN,1,540,14,1008701.0,14257103
NEW YORK UNIVERSITY,"110 WEST 3 STREET, NEW YORK, NY, 10012","110 WEST 3RD STREET, NEW YORK, NY 10012",142571,859194,MANHATTAN,1,540,14,1008701.0,14257104
New York University,"200 EAST 6 STREET, NEW YORK, NY, 10003","10 Astor Place APARTMENT 7th Fl, New York, NY 10003",143987,966428,MANHATTAN,1,461,6,1090311.0,14398703
New York University,"200 EAST 6 STREET, NEW YORK, NY, 10003","10 Astor Place APARTMENT 7th Fl, New York, NY 10003",143987,966428,MANHATTAN,1,461,6,1090311.0,14398704
TRUSTEES OF COLUMBIA UNIVERSITY,"1221 AMSTERDAM AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102917,5524,MANHATTAN,1,1963,1,1059515.0,10291703
TRUSTEES OF COLUMBIA UNIVERSITY,"410 RIVERSIDE DRIVE, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",113541,27275,MANHATTAN,1,1895,39,1057345.0,11354103
TRUSTEES OF COLUMBIA UNIVERSITY,"1240 AMSTERDAM AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102918,5526,MANHATTAN,1,1976,29,1059657.0,10291803
NEW YORK UNIVERSITY,"12 WASHINGTON PLACE, NEW YORK, NY, 10003","70 WASHINGTON SQ SOUTH, NEW YORK, NY 10012",125804,29181,MANHATTAN,1,546,15,1008812.0,12580403
NEW YORK UNIVERSITY,"12 WASHINGTON PLACE, NEW YORK, NY, 10003","2 WASHINGTON SQUARE VILLAGE APARTMENT 1T, New York, NY 10012",125804,29181,MANHATTAN,1,546,15,1008812.0,12580404
NEW YORK UNIVERSITY,"2 WASHINGTON SQUARE VILLAGE, NEW YORK, NY, 10012","70 WASHINGTON SQ SOUTH, NEW YORK, NY 10012",137758,806020,MANHATTAN,1,533,1,1077834.0,13775803
NEW YORK UNIVERSITY,"2 WASHINGTON SQUARE VILLAGE, NEW YORK, NY, 10012","2 WASHINGTON SQUARE VILLAGE APARTMENT 1T, New York, NY 10012",137758,806020,MANHATTAN,1,533,1,1077834.0,13775804
NEW YORK UNIVERSITY,"25 UNION SQUARE, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 7TH FL, NEW YORK, NY 10003",140590,805419,MANHATTAN,1,843,22,1087304.0,14059003
NEW YORK UNIVERSITY,"25 UNION SQUARE, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 7TH FL, NEW YORK, NY 10003",140590,805419,MANHATTAN,1,843,22,1087304.0,14059004
TRUSTEES OF COLUMBIA UNIVERSITY,"421 WEST 119 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",122928,38734,MANHATTAN,1,1962,44,1059511.0,12292803
TRUSTEES OF COLUMBIA UNIVERSITY,"454 RIVERSIDE DRIVE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",123847,27292,MANHATTAN,1,1990,53,1059830.0,12384703
TRUSTEES OF COLUMBIA UNIVERSITY,"2915 BROADWAY, NEW YORK, NY, 10025","400 WEST 118TH STREET, New York, NY 10027",127747,7950,MANHATTAN,1,1895,62,1057351.0,12774703
TRUSTEES OF COLUMBIA UNIVERSITY,"524 WEST 122 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",118773,39218,MANHATTAN,1,1976,51,1059664.0,11877303
TRUSTEES OF COLUMBIA UNIVERSITY,"419 WEST 115 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",119261,38282,MANHATTAN,1,1867,46,1056048.0,11926103
NEW YORK UNIVERSITY,"110 BLEECKER STREET, NEW YORK, NY, 10012","70 WASHINGTON SQUARE, New York, NY 10012",141068,806163,MANHATTAN,1,524,66,1087825.0,14106803
NEW YORK UNIVERSITY,"110 BLEECKER STREET, NEW YORK, NY, 10012","2 WASHINGTON SQUARE VILLAGE APARTMENT 1T, New York, NY 10012",141068,806163,MANHATTAN,1,524,66,1087825.0,14106804
TRUSTEES OF COLUMBIA UNIVERSITY,"521 WEST 112 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",100129,37983,MANHATTAN,1,1884,18,1056994.0,10012903
TRUSTEES OF COLUMBIA UNIVERSITY,"530 WEST 122 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",118775,39220,MANHATTAN,1,1976,55,1059666.0,11877503
TRUSTEES OF COLUMBIA UNIVERSITY,"110 MORNINGSIDE DRIVE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",100946,25567,MANHATTAN,1,1963,48,1059523.0,10094603
TRUSTEES OF COLUMBIA UNIVERSITY,"100 MORNINGSIDE DRIVE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",110734,25565,MANHATTAN,1,1963,16,1059518.0,11073403
TRUSTEES OF COLUMBIA UNIVERSITY,"430 WEST 116 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102911,38400,MANHATTAN,1,1867,70,1056057.0,10291103
NEW YORK UNIVERSITY,"110 EAST 14 STREET, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 6TH, NEW YORK, NY 10003",142252,837406,MANHATTAN,1,559,12,1009072.0,14225203
NEW YORK UNIVERSITY,"110 EAST 14 STREET, NEW YORK, NY, 10003","10 ASTOR PLACE APARTMENT 7TH FL, NEW YORK, NY 10003",142252,837406,MANHATTAN,1,559,12,1009072.0,14225204
